pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
1,0,2,0,2,0,1,1,0,2,2,1,0,0,4,3,3,3,3,0,1,4,4,0,0,0,0,0
2,0,2,0,2,0,1,3,0,2,1,1,2,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
3,0,0,0,0,0,1,3,0,2,2,3,3,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
4,3,0,0,0,0,1,1,0,1,2,3,4,0,4,3,3,3,3,0,1,4,4,0,0,0,0,0
6,0,2,0,0,0,1,1,0,2,2,4,3,0,4,3,3,3,3,0,3,4,3,0,0,0,0,0
7,0,2,0,2,0,1,3,0,0,0,0,0,0,4,3,3,3,3,0,3,2,4,0,0,0,0,0
10,0,2,0,0,0,1,3,0,2,2,3,3,0,4,3,3,3,3,0,3,1,4,0,0,0,0,0
11,0,0,0,2,0,1,1,0,2,2,2,1,0,4,3,3,3,3,0,1,0,3,0,0,0,0,0
12,0,2,0,0,0,1,3,0,2,4,4,4,0,4,3,3,3,3,0,3,1,4,0,0,0,0,0
13,0,0,0,0,0,1,3,0,1,2,3,2,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
14,0,2,0,2,0,1,0,0,0,2,2,1,0,4,3,3,3,3,0,1,4,4,0,0,0,0,0
15,0,2,0,2,0,1,3,0,2,2,3,3,0,4,3,3,3,3,0,3,3,3,0,0,0,0,0
18,0,2,0,0,0,1,0,0,2,2,3,3,0,4,3,3,3,3,0,0,4,4,0,0,0,0,0
34,4,0,0,0,0,0,3,0,2,2,3,3,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
37,0,2,0,2,0,1,1,0,2,2,2,4,0,4,3,3,3,3,0,1,3,4,0,0,0,0,0
39,0,2,0,2,0,1,1,0,2,2,3,3,0,4,3,3,3,3,0,1,2,4,0,0,0,0,0
44,0,0,0,0,0,1,0,0,2,2,3,2,0,4,3,3,3,3,0,1,4,4,0,0,0,0,0
45,4,2,0,0,0,1,3,0,1,2,4,4,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
48,4,2,0,2,0,1,3,0,0,0,0,0,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
49,4,2,0,2,0,1,3,0,0,0,0,0,0,4,3,1,3,3,0,3,4,4,0,0,0,0,0
56,0,2,0,2,0,1,0,0,1,0,0,0,0,4,3,3,3,3,0,0,4,4,0,0,0,0,0
58,0,2,0,2,0,1,3,0,2,2,3,4,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
64,3,0,0,0,0,1,1,0,2,2,3,4,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
73,0,2,0,2,0,1,1,0,2,2,4,3,0,4,3,3,3,3,0,1,4,4,0,0,0,0,0
75,0,1,0,2,0,1,1,0,0,0,0,0,0,4,3,3,3,3,0,1,3,4,0,0,0,0,0
76,0,0,0,0,0,1,3,0,2,2,2,1,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
79,0,2,0,2,0,1,1,0,1,0,1,0,0,4,3,3,3,3,0,0,4,4,0,0,0,0,0
83,0,0,0,2,0,1,0,0,1,1,1,3,0,4,3,3,3,3,0,0,4,3,0,0,0,0,0
84,0,0,0,0,0,1,3,0,2,2,3,2,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
88,0,0,0,2,0,1,1,0,2,0,0,0,0,4,3,3,3,3,0,3,4,4,0,0,0,0,0
93,0,0,0,0,0,0,3,0,2,2,1,0,0,3,3,2,3,3,0,3,4,3,0,0,0,0,0
99,0,2,0,2,0,1,3,0,0,0,0,0,0,3,3,3,3,3,0,3,3,4,0,0,0,0,0
101,0,2,0,2,0,1,1,0,0,0,0,0,0,3,3,3,3,3,0,1,4,4,0,0,0,0,0
102,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2,3,3,0,1,4,4,0,0,0,0,0
104,0,0,0,2,0,1,3,0,2,2,3,2,0,3,2,2,3,3,0,3,4,4,0,0,0,0,0
106,4,0,0,0,0,1,3,0,2,2,4,3,0,3,3,3,3,3,0,3,4,4,0,0,0,0,0
107,0,0,0,0,0,0,0,0,2,2,3,3,0,3,3,3,3,3,0,0,4,3,0,0,0,0,0
108,0,2,0,2,0,1,3,0,2,0,2,1,0,3,3,3,3,3,0,3,3,3,0,0,0,0,0
110,0,0,0,2,0,0,3,0,2,2,4,3,0,3,2,2,3,3,0,3,4,4,0,0,0,0,0
112,0,2,0,2,0,1,1,0,2,2,2,1,0,3,3,3,3,3,0,1,4,3,0,0,0,0,0
114,0,2,1,2,0,1,0,0,1,0,0,1,0,3,3,3,3,3,0,0,4,4,0,0,0,0,0
