pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,pre_prs,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,directory_num,subsystem_num,language_num,file_type_num,segs_added_num,segs_deleted_num,segs_updated_num,changes_files_modified,file_developer_num,change_num,recent_change_num,testinclusion
1,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,4,1
2,3,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,1,2,0,1,1,1,0,1,3,0,3,3,0
3,4,0,0,0,0,2,1,1,1,0,3,3,1,0,0,0,0,0,2,1,1,1,2,1,1,3,0,3,2,0
4,3,0,0,0,0,0,2,2,1,0,3,1,0,0,0,0,0,0,3,1,1,1,2,0,1,3,0,3,2,0
5,3,0,0,0,0,2,3,2,1,0,4,0,3,0,0,0,0,0,3,1,1,1,0,1,1,4,0,4,4,0
6,4,0,0,0,0,2,3,3,1,0,3,1,4,0,0,0,0,0,4,1,4,1,3,1,2,4,0,3,3,0
7,4,0,0,0,0,2,1,0,3,0,3,2,3,0,0,0,0,0,2,1,0,0,0,1,3,4,0,3,2,0
8,3,0,0,0,0,0,3,1,1,0,3,3,2,0,0,0,1,0,3,1,1,1,2,1,1,3,0,3,2,0
9,4,0,0,0,0,0,1,1,1,0,3,3,4,0,0,0,0,0,2,0,1,1,1,1,1,2,0,3,2,0
11,0,0,0,2,0,1,3,2,2,0,4,3,4,0,0,0,0,0,4,1,1,1,2,1,2,4,0,4,4,0
12,2,0,0,0,0,2,2,3,3,0,3,3,3,0,0,0,0,0,2,0,1,1,1,1,3,4,0,3,2,0
13,3,0,0,0,0,0,1,0,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0
14,4,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,2,0,1,1,1,0,1,3,0,3,2,0
15,1,0,0,0,0,2,3,4,3,0,3,3,3,0,0,0,0,0,3,1,1,1,3,1,2,4,0,3,2,0
16,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,0
17,3,0,0,0,0,1,1,2,0,0,3,0,4,0,0,0,0,0,1,1,1,1,2,0,0,2,0,3,1,0
18,3,0,0,0,0,1,1,2,1,0,3,2,2,0,0,0,0,0,1,1,0,0,2,0,1,3,0,3,1,0
19,4,0,0,2,0,2,3,4,3,0,4,3,4,0,0,0,0,0,4,1,4,1,3,1,2,4,0,4,4,0
20,3,0,0,0,0,2,3,4,3,0,3,2,2,0,0,0,0,0,4,1,4,1,3,1,2,4,0,4,4,0
21,4,0,0,0,0,2,1,1,1,0,3,1,0,0,0,0,0,0,1,1,0,0,1,1,0,3,0,3,1,0
22,4,0,0,0,0,1,1,1,1,0,3,3,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,3,1,0
23,3,0,0,0,0,2,3,2,1,0,3,4,1,0,1,0,0,0,3,1,1,1,3,1,1,4,0,3,1,0
24,3,0,0,2,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,1,0
25,4,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,0
26,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0
27,2,0,0,0,0,2,3,4,3,0,3,0,4,0,0,0,0,0,3,1,1,1,3,0,3,4,0,3,0,0
28,4,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,1,1,1,1,1,1,0,1,3,0,3,0,0
29,2,0,0,0,0,2,1,1,0,0,3,0,1,0,0,0,0,0,1,1,1,1,2,0,1,3,0,3,0,0
30,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
31,3,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0
32,3,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,3,0,0
33,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,3,0,0
34,4,0,0,0,0,1,1,2,2,0,3,3,0,0,0,0,0,0,1,0,0,0,1,1,1,3,0,3,0,0
35,4,0,0,0,0,2,3,4,3,0,3,0,3,0,0,0,0,0,3,1,1,1,3,1,2,3,0,4,3,0
36,4,0,0,0,0,2,1,3,1,0,3,3,0,0,0,0,0,0,1,1,1,1,2,0,1,2,0,3,0,0
37,4,0,0,0,0,2,2,3,2,0,3,3,3,0,0,0,0,0,3,1,0,0,3,0,2,3,0,4,3,0
38,4,0,0,0,0,2,2,2,3,0,3,2,2,0,0,0,0,0,2,1,1,1,1,1,3,4,0,3,0,0
39,2,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,3,0,0
40,0,2,0,2,0,2,1,0,3,0,4,2,1,0,0,0,0,0,1,0,0,0,0,1,3,4,0,4,4,0
41,2,0,0,0,0,1,0,1,0,0,3,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,3,0,0
42,2,0,0,0,0,2,1,2,1,0,3,3,0,0,0,0,0,0,1,0,1,1,1,0,1,3,0,3,0,0
43,2,0,0,0,0,2,1,3,3,0,3,1,0,0,0,0,0,0,1,0,1,1,1,1,3,2,0,3,0,0
44,4,0,0,0,0,1,1,1,0,0,3,4,0,0,0,0,0,0,1,1,1,1,1,0,2,3,0,3,0,0
45,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0
46,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0
47,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0
48,1,0,0,0,0,1,1,1,3,0,3,3,3,0,0,0,0,0,2,1,0,0,1,1,3,3,0,3,0,0
49,1,0,0,0,0,1,1,1,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,3,0,0
50,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0
51,4,0,0,0,0,2,1,3,2,0,3,2,1,0,0,0,0,0,2,0,1,1,3,1,1,3,0,3,0,0
