pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
12,1,0,0,0,0,1,4,1,0,0,0,4,3,4,4,4,4,4,1,4,2,1,0,0,0,0,0
15,3,0,0,0,0,1,4,1,0,2,3,4,3,4,4,4,4,4,1,4,4,3,0,0,0,0,0
16,3,0,0,0,0,1,4,1,0,2,3,4,3,4,4,4,3,4,1,4,2,3,0,0,0,0,0
17,3,0,0,0,0,1,4,1,0,2,3,3,3,4,4,4,4,4,1,4,0,1,0,0,0,0,0
19,4,0,0,0,0,0,4,1,0,2,4,4,3,4,3,4,3,3,1,4,4,4,0,0,0,0,0
23,3,1,0,0,0,1,4,1,0,0,0,0,3,4,4,4,4,4,1,4,4,0,0,0,0,0,0
41,2,0,0,0,0,1,4,1,0,2,1,0,3,4,4,4,4,4,1,4,3,1,1,0,0,0,0
43,2,0,0,0,0,1,4,1,0,1,2,2,3,4,4,4,4,4,1,4,4,1,0,0,0,0,0
48,2,0,0,0,1,1,4,1,0,0,0,0,3,4,4,4,4,4,1,4,4,1,0,0,0,0,0
49,2,0,0,0,0,1,1,1,0,1,1,1,3,4,4,3,3,4,1,4,1,0,0,0,0,0,0
53,3,0,0,0,0,1,4,1,0,2,1,1,3,4,4,4,4,4,1,4,2,1,0,0,0,0,0
57,4,0,0,0,0,1,4,1,0,1,2,2,3,4,4,4,3,3,1,4,0,2,0,0,0,0,0
58,4,0,0,0,0,1,4,1,0,2,4,4,3,4,4,4,4,4,1,4,0,3,0,0,0,0,0
59,2,0,0,2,0,1,4,1,0,0,0,4,3,4,4,4,4,4,1,4,1,4,0,0,0,0,0
61,2,0,0,0,0,1,4,1,0,2,1,4,3,4,4,4,4,4,1,4,1,4,0,0,0,0,0
62,3,0,0,0,0,1,4,1,0,2,2,3,3,4,3,3,3,3,1,4,3,1,0,0,0,0,0
63,4,0,0,0,0,1,4,1,0,0,0,0,3,4,4,4,4,4,1,4,4,1,0,0,0,0,0
64,4,0,0,0,0,1,4,1,0,2,1,1,3,4,4,4,4,4,1,4,3,4,0,0,0,0,0
66,4,0,0,0,0,1,4,1,0,0,0,0,3,4,3,3,3,3,1,4,2,0,0,0,0,0,1
72,4,0,0,0,0,1,4,1,0,1,2,2,3,4,3,3,3,3,1,4,1,2,1,0,0,1,0
73,4,0,0,0,0,1,4,1,0,1,1,4,3,4,4,3,3,3,1,4,0,4,0,0,0,0,0
74,4,0,0,0,0,1,4,1,0,2,3,2,3,4,3,3,3,3,1,4,2,3,0,0,0,0,0
76,3,0,0,0,0,1,4,1,0,1,1,0,3,4,4,3,3,3,1,4,3,1,0,0,0,0,0
78,3,0,0,0,0,1,4,1,0,2,3,2,3,4,3,3,3,3,1,4,3,3,0,0,0,0,0
