pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
1,1,0,0,2,0,1,1,0,0,0,0,0,3,4,3,3,3,3,1,1,1,1,0,0,0,0,0
2,4,0,0,2,0,1,3,1,1,2,3,2,3,4,3,3,3,3,1,2,0,3,0,0,0,0,0
3,4,0,0,2,0,1,4,1,1,2,3,2,3,4,3,3,3,3,1,4,2,4,0,0,0,0,0
4,4,0,0,2,0,1,4,1,1,2,1,4,3,4,3,3,3,3,1,4,2,3,0,0,0,0,0
5,4,0,0,2,0,1,4,1,1,2,3,2,3,4,3,3,3,3,1,4,2,4,0,0,0,0,0
6,4,0,0,2,0,1,4,1,1,2,1,1,3,4,3,3,3,3,1,4,2,4,0,0,0,0,0
7,4,0,0,2,0,1,4,1,1,2,4,3,3,4,3,3,3,3,1,4,2,3,0,0,0,0,0
8,4,0,0,2,0,1,4,1,1,2,3,4,3,4,3,3,3,3,1,4,3,4,0,0,0,0,0
9,4,0,0,2,0,1,1,1,1,2,4,3,3,4,3,3,3,3,1,2,3,4,0,0,0,0,0
11,2,1,0,2,0,1,4,1,1,2,3,2,3,4,3,3,3,3,1,4,4,2,0,0,0,0,0
13,2,0,0,2,0,1,4,1,1,2,3,4,3,4,3,3,3,3,1,4,1,4,0,0,0,0,0
14,3,0,0,2,0,1,2,1,1,1,2,1,3,4,3,3,3,3,1,1,2,2,0,0,0,0,0
15,2,2,0,2,0,1,0,1,1,0,0,0,3,4,3,3,3,3,1,2,4,3,0,0,0,0,0
17,3,0,0,2,0,1,3,1,1,2,4,3,3,4,3,3,3,3,1,2,2,4,0,0,0,0,0
18,0,2,0,2,0,1,0,0,0,2,2,2,3,4,3,3,3,3,1,1,0,2,0,0,0,0,0
19,3,0,0,2,0,1,2,1,1,2,3,2,3,4,3,3,3,3,1,1,0,1,0,0,0,0,0
20,2,0,0,2,0,1,4,0,1,1,1,4,3,4,3,3,3,3,1,2,0,1,0,0,0,0,0
22,3,0,0,2,0,1,4,1,1,1,2,1,3,4,3,3,3,3,1,2,2,3,0,1,0,0,0
23,3,0,0,2,0,1,3,0,0,0,1,1,3,4,3,3,3,3,1,1,2,3,0,1,0,0,0
25,0,2,0,2,0,1,1,0,0,0,0,1,3,4,3,2,3,3,1,1,3,3,0,0,0,0,0
27,2,0,0,2,0,1,0,0,1,2,2,1,3,4,3,3,3,3,1,1,0,0,1,0,0,0,0
29,3,0,0,2,0,1,4,0,0,1,1,1,3,4,3,3,3,3,1,1,3,4,0,0,0,0,0
30,2,0,0,2,0,1,0,1,1,2,2,4,3,4,3,3,3,3,1,0,4,2,0,0,0,0,0
31,3,3,0,2,0,1,1,1,1,2,3,2,3,4,3,3,3,3,1,0,0,3,0,0,0,0,0
32,1,3,0,2,0,1,0,0,0,1,2,2,3,4,3,3,3,3,1,0,3,1,0,0,0,0,0
33,2,3,0,2,0,1,2,0,0,2,3,2,3,4,3,3,3,3,1,1,2,3,0,0,0,0,0
34,3,1,0,2,0,1,4,1,1,2,3,2,3,4,3,3,3,3,1,4,1,0,0,0,0,0,0
35,1,0,0,2,0,0,1,0,1,2,3,4,3,4,3,3,3,3,1,0,2,4,0,0,0,0,0
36,2,0,0,2,0,0,4,1,1,2,3,2,3,4,3,3,3,3,1,4,2,2,0,0,0,0,0
38,1,0,0,2,0,0,1,1,1,2,3,4,3,4,3,3,3,3,1,1,2,3,0,0,0,0,0
41,2,0,0,2,0,0,3,1,1,2,3,2,3,4,3,3,3,3,1,2,2,3,0,0,0,0,0
42,2,0,0,2,0,0,2,1,0,0,1,2,3,4,3,3,3,3,1,1,2,4,0,0,0,0,0
43,2,0,0,2,0,0,4,1,1,2,2,2,3,4,3,3,3,3,1,4,1,4,0,0,0,0,0
44,4,0,0,2,0,1,4,1,1,2,2,4,3,4,3,3,3,3,1,4,0,4,0,0,0,0,0
45,1,0,0,2,0,1,3,1,1,2,4,1,3,4,3,3,3,3,1,2,0,2,0,0,0,0,0
46,3,0,0,2,0,1,4,1,1,2,1,1,3,4,3,3,3,3,1,2,0,2,0,0,0,0,0
48,3,0,0,2,0,1,1,0,0,2,0,4,3,4,3,3,3,3,1,0,4,2,0,0,0,0,0
49,3,0,0,2,0,1,4,0,0,1,2,4,3,4,3,3,3,3,1,2,1,3,0,0,0,0,0
51,4,0,0,2,0,1,3,1,1,2,4,3,3,4,3,3,3,3,1,2,2,3,0,0,0,0,0
52,4,1,0,2,0,1,4,1,1,0,1,1,3,4,3,3,3,3,1,2,4,1,0,0,1,1,0
53,2,0,0,2,0,1,0,0,1,2,1,0,3,4,3,3,2,3,1,1,3,3,0,0,0,0,0
54,2,0,0,2,0,1,3,1,0,2,1,1,3,4,3,3,2,3,1,2,3,3,0,0,0,0,0
55,4,3,0,2,0,1,4,1,1,2,4,3,3,4,3,3,3,3,1,4,2,3,0,0,0,0,0
56,3,0,0,2,0,1,4,1,1,2,3,2,3,4,3,3,2,3,1,4,2,4,0,0,0,0,0
57,0,0,0,2,0,1,0,1,1,1,1,4,3,4,3,3,3,3,1,0,0,1,0,0,0,0,0
58,2,3,0,2,0,1,3,1,1,2,3,2,3,4,3,3,2,3,1,2,3,2,0,0,0,0,0
59,3,0,0,2,0,1,2,1,1,2,4,3,3,4,3,3,3,3,1,1,3,2,0,0,0,0,0
61,1,3,0,2,0,1,2,1,1,2,3,2,3,4,3,3,2,3,1,2,1,2,0,1,0,0,0
62,1,3,0,2,0,1,1,1,1,0,1,0,3,4,3,3,2,3,1,1,0,1,0,0,0,0,0
63,0,0,0,2,0,1,0,1,0,0,1,0,3,4,3,3,3,3,1,0,4,3,0,0,0,0,0
66,2,1,0,2,0,1,4,1,0,0,0,0,3,4,3,3,3,3,1,4,3,1,0,0,0,0,0
67,1,0,0,2,0,1,0,1,1,1,2,3,3,4,3,3,3,3,1,0,1,4,0,0,0,0,0
68,1,0,0,2,0,1,4,1,1,2,3,4,3,4,2,3,2,3,1,2,2,4,0,0,0,0,0
69,1,0,0,2,0,1,4,0,1,2,2,1,3,4,3,3,3,3,1,1,0,3,0,0,0,0,0
