pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
80,3,1,0,0,0,1,3,0,2,2,3,2,1,4,4,4,4,4,0,2,4,3,0,0,0,0,0
84,4,1,0,0,0,1,0,0,0,0,0,2,1,4,4,4,4,4,0,1,4,3,0,0,0,0,0
85,4,1,0,0,0,1,3,0,2,2,2,1,1,4,4,3,4,4,0,2,2,3,0,0,0,0,0
99,2,0,0,0,0,1,3,0,1,2,0,0,1,4,4,4,4,4,0,2,4,4,0,0,0,0,0
100,4,2,0,0,0,1,1,0,2,2,0,4,1,4,4,4,4,4,0,1,4,2,0,0,0,0,0
101,3,2,0,0,0,1,1,0,2,2,0,1,1,4,4,4,4,4,0,1,4,2,0,0,0,0,0
112,3,0,0,0,0,1,3,0,0,0,0,0,1,4,4,4,4,4,0,2,3,2,0,0,0,0,0
113,2,0,0,0,0,0,3,0,1,0,1,0,1,4,4,3,4,4,0,2,4,1,0,0,0,0,0
120,4,1,0,0,0,1,3,0,2,2,2,4,1,4,4,4,4,4,0,2,0,3,0,0,0,0,0
122,2,1,0,0,0,1,3,0,1,2,2,4,1,4,4,4,4,4,0,2,0,0,0,0,0,0,0
124,4,1,0,0,0,1,3,0,0,0,0,1,1,4,4,4,4,4,0,2,0,3,0,0,0,0,0
130,4,0,0,0,0,0,3,0,2,2,4,3,1,4,4,4,4,4,0,2,2,4,0,0,0,0,0
137,4,2,0,0,0,1,1,0,2,1,2,1,1,4,4,4,4,4,0,1,0,4,0,0,0,0,0
139,4,0,0,0,0,0,3,0,2,2,0,0,1,4,4,4,4,4,0,2,3,2,0,0,0,1,0
140,3,0,0,0,0,1,3,0,2,2,0,4,1,4,4,4,4,4,0,2,3,0,0,0,0,0,0
141,3,0,0,0,0,1,3,0,2,2,0,0,1,4,4,3,4,4,0,2,0,4,0,0,0,0,0
142,4,0,0,0,0,0,3,0,2,2,3,2,1,4,4,3,4,4,0,2,2,4,0,0,0,0,0
143,2,0,0,0,0,0,3,0,2,0,2,2,1,4,4,3,4,4,0,2,0,0,0,0,0,0,0
144,2,0,0,0,0,0,3,0,1,0,1,0,1,4,4,3,3,4,0,2,4,2,0,0,0,0,0
145,3,0,0,0,0,1,3,0,2,2,2,2,1,4,3,3,3,3,0,2,0,3,0,0,0,0,0
146,4,0,0,0,0,1,3,0,2,0,0,4,1,4,4,4,4,4,0,2,4,2,0,0,0,0,0
150,4,0,0,0,0,0,3,0,2,2,3,4,1,4,3,3,3,3,0,2,2,3,0,0,0,0,0
151,4,0,0,0,0,1,3,0,2,2,4,3,1,4,3,3,3,3,0,2,2,2,0,0,0,0,0
152,4,0,0,0,0,1,3,0,2,1,2,1,1,4,3,3,3,3,0,2,0,4,0,0,0,0,0
160,2,0,0,0,0,0,1,0,1,0,0,0,1,4,3,3,3,3,0,2,0,0,0,1,0,0,0
161,2,0,0,0,0,0,1,0,0,0,0,2,1,4,3,3,3,3,0,2,4,1,0,0,0,0,0
162,2,0,0,0,0,0,3,0,2,2,4,3,1,4,3,3,3,3,0,2,0,2,0,0,0,0,0
163,2,0,0,0,0,1,3,0,2,0,3,1,1,4,3,3,3,3,0,2,2,4,0,0,0,0,0
173,2,0,0,0,0,0,1,0,0,0,0,0,1,4,3,3,3,3,0,2,0,2,0,0,0,0,0
174,3,0,0,0,0,1,3,0,0,0,0,0,1,4,3,3,3,3,0,2,4,2,0,0,0,0,0
186,4,0,0,0,0,1,3,0,0,0,0,0,1,4,3,3,3,3,0,2,2,4,0,0,0,0,0
187,4,0,0,0,0,1,3,0,2,2,4,3,1,4,3,3,3,3,0,2,1,4,0,0,0,0,0
188,2,0,0,0,0,1,3,0,2,0,0,0,1,4,3,3,3,3,0,2,2,0,0,0,0,0,0
189,2,0,0,0,0,1,3,0,1,0,4,3,1,4,3,2,3,3,0,2,4,1,0,1,0,0,0
193,3,0,0,0,0,1,1,0,2,2,3,2,1,4,4,4,4,4,0,1,3,1,0,0,0,0,0
194,3,0,0,0,0,1,3,0,1,2,3,2,1,4,4,4,4,4,0,2,2,1,0,0,0,0,0
195,3,0,0,0,0,1,3,0,1,1,2,1,1,4,4,4,4,4,0,2,2,1,0,0,0,0,0
196,4,0,0,0,0,1,3,0,0,1,2,1,1,4,4,4,4,4,0,2,3,1,0,0,0,0,0
197,4,0,0,0,0,1,3,0,2,2,2,4,1,4,4,4,3,3,0,2,2,3,0,0,0,0,0
198,4,1,0,0,0,1,3,0,2,2,1,4,1,4,4,4,4,4,0,2,2,4,0,0,0,0,0
199,4,0,0,0,0,1,3,0,2,0,3,1,1,4,3,4,3,3,0,2,3,3,0,0,0,0,0
200,4,1,0,0,0,1,3,0,2,1,2,0,1,4,4,4,4,4,0,2,4,4,0,0,0,0,0
201,3,1,0,0,0,1,3,0,2,2,0,4,1,4,4,4,4,4,0,2,4,2,0,0,0,0,0
202,4,0,0,0,0,0,3,0,1,0,0,0,1,4,3,4,3,3,0,2,2,3,0,0,0,0,0
203,4,0,0,0,0,0,3,0,1,0,1,0,1,4,3,3,3,3,0,2,2,4,0,0,0,0,0
204,4,0,0,0,0,0,3,0,1,0,0,0,1,4,3,3,3,3,0,2,2,4,0,0,0,0,0
205,4,0,0,0,0,0,3,0,2,2,2,1,1,4,3,3,3,3,0,2,4,3,0,0,0,0,0
206,4,0,0,0,0,0,3,0,0,0,1,0,1,4,3,3,3,3,0,2,0,4,0,0,0,0,0
207,4,0,0,0,0,0,3,0,2,2,1,1,1,4,3,3,3,3,0,2,0,3,0,0,0,0,0
208,4,0,0,0,0,0,3,0,1,0,1,0,1,4,3,3,3,3,0,2,3,4,0,0,0,0,0
209,4,0,0,0,0,0,3,0,2,2,1,0,1,4,3,3,3,3,0,2,0,3,0,0,0,0,0
210,4,0,0,0,0,0,3,0,2,2,2,1,1,4,3,3,3,3,0,2,4,3,0,0,0,0,0
211,4,0,0,0,0,0,3,0,0,1,1,0,1,4,3,3,3,3,0,2,4,4,0,0,0,0,0
