pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
13,4,2,0,2,0,1,3,1,2,2,4,3,4,4,3,3,3,3,0,3,4,3,0,0,0,0,0
38,4,2,0,2,0,1,2,1,1,1,3,2,4,4,3,3,3,3,0,2,3,4,0,0,0,0,0
55,4,2,0,2,0,1,2,1,2,2,4,3,4,4,3,3,3,3,0,2,4,4,0,0,0,0,0
60,1,2,0,2,0,1,0,1,2,2,4,3,4,4,3,3,3,3,0,0,2,1,0,0,0,0,0
87,3,0,0,2,0,1,1,1,1,0,1,0,4,4,3,3,3,3,0,2,1,4,0,0,0,0,0
90,3,2,0,2,0,1,2,1,2,2,4,3,4,4,3,3,3,3,0,1,4,4,0,0,0,0,0
99,2,2,0,2,0,1,1,0,2,2,3,4,4,4,3,3,3,3,0,0,2,2,0,0,0,0,0
102,2,2,0,2,0,1,2,1,2,2,4,3,4,4,3,3,3,3,0,2,2,3,0,0,0,0,0
113,3,2,0,2,0,1,0,1,1,2,1,1,4,4,3,3,3,3,0,1,0,0,0,0,0,0,0
154,4,2,0,2,0,1,3,1,4,4,4,4,4,4,3,3,3,3,0,3,4,2,0,0,0,0,0
155,1,2,0,2,0,1,2,1,2,2,2,1,4,4,3,3,3,3,0,2,1,1,0,0,0,0,0
157,2,2,0,2,0,1,1,1,2,2,2,2,4,4,3,3,3,3,0,0,0,1,0,0,0,0,0
158,1,2,0,2,0,1,2,1,2,1,2,1,4,4,3,3,3,3,0,2,0,3,0,0,0,0,0
241,2,0,0,2,0,1,2,1,2,2,4,3,4,4,3,3,3,3,0,2,0,2,0,0,0,0,0
242,2,0,0,2,0,1,2,1,2,2,3,4,4,4,3,3,3,3,0,2,3,1,0,0,0,0,0
283,4,2,0,2,0,1,2,1,2,2,4,3,4,4,3,3,3,3,0,3,4,2,0,0,0,0,0
298,4,2,0,2,0,1,3,1,2,2,3,2,4,4,3,3,3,3,0,3,1,4,0,0,0,0,0
314,4,2,0,2,0,0,3,1,2,0,1,0,4,4,3,3,3,3,0,3,2,2,0,0,0,0,0
337,0,0,1,0,0,1,0,1,2,2,2,4,2,4,3,3,3,3,0,2,0,1,0,0,0,0,0
340,3,2,0,2,0,1,1,1,2,1,2,2,4,4,3,3,3,3,0,2,0,1,0,0,0,0,0
409,4,2,0,2,0,1,3,1,2,2,4,3,4,4,3,3,3,3,0,3,3,4,0,0,0,0,0
423,4,2,0,2,0,0,3,1,2,2,1,4,4,4,3,3,3,3,0,3,1,1,0,0,0,0,0
432,4,2,0,2,0,1,2,1,2,2,3,2,4,4,3,3,3,3,0,2,2,4,0,0,0,0,0
437,4,0,0,2,0,1,2,1,2,2,3,2,4,4,3,3,3,3,0,2,3,2,0,0,0,0,0
453,3,2,0,2,0,1,1,1,2,2,4,3,4,4,3,3,3,3,0,2,3,0,0,0,0,0,0
475,1,0,0,2,0,1,0,1,2,1,1,0,4,4,3,3,3,3,0,0,0,1,0,0,0,0,0
515,3,2,0,2,0,1,2,1,2,2,3,4,4,4,3,3,3,3,0,2,4,3,0,0,0,0,0
517,3,2,0,0,0,1,2,1,2,2,1,4,4,4,3,3,3,3,0,2,4,3,0,0,0,0,0
538,4,1,1,0,1,1,0,1,2,2,3,1,2,4,3,3,3,3,0,0,2,3,0,0,0,0,0
541,0,0,1,0,1,1,0,1,0,1,0,4,2,4,3,3,3,3,0,1,1,2,0,0,0,0,0
544,2,0,1,0,1,1,0,1,2,2,2,1,2,4,3,3,3,3,0,1,0,1,0,0,0,0,0
546,2,0,1,0,1,1,0,1,1,0,1,0,2,4,3,3,3,3,0,1,0,2,0,0,0,0,0
555,4,0,1,0,0,0,3,1,2,1,3,2,2,4,3,3,3,3,0,3,4,4,0,0,0,0,0
557,0,1,1,0,1,0,0,0,0,0,0,4,2,4,3,3,3,3,0,0,0,0,0,0,0,0,0
567,3,0,1,2,0,0,1,1,2,2,3,4,2,4,3,3,3,3,0,0,0,0,0,0,0,0,0
568,3,0,1,0,0,0,1,1,2,2,3,2,2,4,3,3,3,3,0,0,2,2,0,0,0,0,0
569,3,2,1,0,0,0,1,1,1,2,3,2,2,4,3,3,3,3,0,0,0,1,0,0,0,0,0
570,2,0,1,2,0,0,0,1,1,1,2,2,2,4,3,3,3,3,0,1,2,2,0,1,0,0,0
572,2,0,1,0,1,0,2,1,2,2,4,0,2,4,3,3,3,3,0,2,0,1,0,0,0,0,0
573,1,0,1,2,1,0,0,1,2,1,1,4,2,4,3,3,3,3,0,1,2,0,0,0,0,0,0
574,0,0,1,2,0,0,2,1,2,2,4,3,2,4,3,3,3,3,0,1,4,2,0,1,0,0,0
575,3,0,1,0,0,1,2,1,2,2,2,3,2,4,3,3,3,3,0,1,2,0,0,0,0,0,0
578,3,0,1,0,0,1,1,1,2,2,4,3,2,4,3,3,3,3,0,1,0,0,0,1,0,0,0
584,0,0,1,2,1,1,1,1,4,4,4,4,2,4,3,3,3,3,0,1,0,0,0,1,0,0,0
588,0,0,1,2,1,1,0,0,2,0,0,0,2,4,3,3,3,3,0,0,1,1,0,0,0,0,0
589,0,0,1,2,1,1,0,1,1,1,1,4,2,4,3,3,3,3,0,0,4,2,0,0,0,0,0
595,1,0,1,0,1,1,1,1,2,1,3,2,2,4,3,3,3,3,0,1,2,2,0,0,0,0,0
596,3,0,1,0,0,1,2,1,2,2,4,3,2,4,3,3,3,3,0,2,3,4,0,0,0,0,0
599,3,0,1,0,0,1,2,1,2,2,4,4,2,4,3,3,3,3,0,2,4,1,0,1,0,0,0
604,4,0,1,0,0,1,3,1,2,2,3,2,2,4,3,3,3,3,0,3,1,3,0,0,0,0,0
606,2,0,1,0,0,1,2,1,2,2,3,2,2,4,3,3,3,3,0,2,2,3,0,0,0,0,0
