pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
79,2,2,0,2,1,0,1,1,2,2,3,1,2,4,3,3,3,3,0,0,0,3,0,0,0,0,0
81,2,0,0,2,1,0,2,1,1,1,2,4,2,4,3,3,3,3,0,1,0,0,0,0,0,0,0
86,4,0,0,0,1,0,2,1,2,2,3,2,2,4,3,3,3,3,0,1,3,0,0,0,0,0,0
88,3,0,0,0,0,0,0,1,2,1,2,1,2,4,3,3,3,3,0,0,4,3,0,0,0,0,0
89,3,0,0,0,0,0,1,1,1,1,2,2,2,4,3,3,3,3,0,0,4,0,0,0,0,0,0
91,2,0,0,0,0,0,2,0,1,2,2,1,2,4,3,3,3,3,0,1,2,3,0,0,0,0,0
93,2,0,0,2,0,0,0,0,1,1,2,4,2,4,2,3,2,2,0,0,2,2,0,0,0,0,0
94,3,0,0,0,1,0,0,1,2,1,2,2,2,4,3,3,3,3,0,0,2,2,0,0,0,0,0
97,2,0,0,2,0,0,2,1,2,2,3,2,2,4,3,3,3,3,0,1,0,3,0,0,0,0,0
98,4,0,0,0,0,0,4,1,2,2,3,2,2,4,3,3,3,3,0,4,2,3,0,0,0,0,0
101,4,0,0,0,0,0,1,1,1,2,3,1,2,4,2,3,2,2,0,1,0,2,0,0,0,0,0
103,2,0,0,0,1,0,2,1,2,2,3,1,2,4,3,3,3,3,0,1,3,2,0,0,0,0,0
104,1,0,0,2,0,0,0,1,0,0,1,1,2,4,2,3,2,2,0,0,3,1,0,0,0,0,0
106,2,2,0,2,0,0,4,0,0,0,2,1,2,4,3,3,3,3,0,1,3,3,0,0,0,0,0
112,4,0,0,0,1,0,1,1,2,2,3,2,2,4,3,3,3,3,0,0,2,3,0,0,0,0,0
114,4,0,0,0,0,0,2,1,2,2,3,2,2,4,3,3,3,3,0,1,0,3,0,0,0,0,0
115,4,0,0,2,0,0,2,1,2,0,1,0,2,4,3,3,3,3,0,1,1,3,0,0,0,0,0
116,4,0,0,0,0,0,2,1,2,2,3,1,2,4,3,3,3,3,0,1,4,3,0,0,0,0,0
117,4,0,0,0,0,0,2,1,2,2,3,2,2,4,3,3,2,3,0,1,3,3,0,0,0,0,0
120,4,0,0,0,0,0,4,1,2,2,3,4,2,4,3,3,3,3,0,4,1,3,0,0,0,0,0
121,4,0,0,0,0,0,2,1,1,2,3,2,2,4,3,3,2,3,0,1,0,3,0,0,0,0,0
122,2,0,0,0,0,0,2,1,2,0,0,0,2,4,3,3,3,3,0,1,4,2,0,1,0,0,0
128,3,0,0,2,0,0,2,0,1,2,3,2,2,4,2,3,2,2,0,0,1,3,0,0,0,0,0
136,2,0,0,0,1,1,2,1,2,2,3,4,2,4,3,3,3,3,0,1,2,2,0,0,0,0,0
139,3,0,0,2,1,1,2,1,2,2,3,2,2,4,3,3,3,3,0,1,0,3,0,0,0,0,0
141,3,0,0,2,0,1,2,1,0,2,3,2,2,4,3,3,3,3,0,1,3,3,0,0,0,0,0
142,4,0,0,2,1,1,4,0,1,0,0,0,2,4,3,3,3,3,0,1,1,3,0,0,0,0,0
144,1,0,0,0,1,1,0,0,0,0,0,0,2,4,3,1,3,3,0,0,1,3,0,0,0,0,0
147,4,0,0,0,0,1,2,1,1,2,3,4,2,4,3,3,3,3,0,1,2,3,0,0,0,0,0
151,2,0,0,0,0,1,2,1,2,2,3,2,2,4,3,3,3,3,0,1,3,3,0,0,0,0,0
153,3,0,0,0,0,1,2,1,2,2,3,2,2,4,3,3,3,3,0,1,1,3,0,0,0,0,0
155,2,0,0,2,1,1,0,1,0,2,3,2,2,4,3,3,3,3,0,0,4,3,0,0,0,0,0
156,4,0,0,0,0,1,4,1,2,2,3,2,2,4,3,3,3,3,0,4,2,3,0,0,0,0,0
160,3,0,0,0,1,1,1,0,1,2,1,0,2,4,2,3,3,2,0,0,2,2,0,0,0,0,0
161,4,0,0,2,0,1,1,1,2,2,2,0,2,4,2,2,2,2,0,0,4,3,0,0,0,0,0
162,4,0,0,0,0,1,4,1,2,2,3,2,2,4,2,2,2,2,0,4,4,3,0,0,0,0,0
163,3,0,0,0,0,1,1,0,0,0,1,0,2,4,2,2,2,2,0,0,0,3,0,0,0,0,0
164,4,0,0,0,0,1,2,1,2,2,3,1,2,4,2,2,2,2,0,1,3,3,0,0,0,0,0
170,4,0,0,2,0,1,1,1,2,1,0,0,2,4,3,3,3,3,0,1,0,2,0,0,0,0,0
173,4,0,0,2,0,1,0,1,2,2,0,0,2,4,3,3,3,3,0,0,0,0,0,0,0,0,0
183,4,0,0,0,1,1,2,1,1,2,3,2,2,4,3,3,3,3,0,1,4,0,0,0,0,0,0
184,4,0,0,0,0,1,2,1,2,2,3,2,2,4,3,3,3,3,0,1,1,3,0,0,0,0,0
185,4,0,0,0,0,1,4,1,2,2,3,2,2,4,3,3,2,3,0,4,0,3,0,0,0,0,0
186,2,0,0,0,1,1,1,1,1,2,1,0,2,4,3,3,3,3,0,1,0,0,0,0,0,0,0
189,4,0,0,0,0,1,4,1,2,2,3,2,2,4,3,3,3,3,0,4,1,3,0,0,0,0,0
191,4,0,0,2,0,1,4,1,1,2,3,4,2,4,2,1,3,2,0,4,2,3,0,0,0,0,0
193,3,0,0,2,0,1,1,1,1,0,1,4,2,4,2,1,3,2,0,0,1,3,0,0,0,0,0
195,2,0,0,0,1,1,2,0,1,2,3,2,2,4,3,3,2,3,0,1,2,3,0,0,0,0,0
197,2,0,0,0,1,1,0,0,0,1,1,2,2,4,2,1,3,2,0,0,2,3,0,0,0,0,0
198,1,0,0,0,0,1,0,0,0,0,0,0,2,4,2,2,2,2,0,0,3,3,0,0,0,0,0
200,4,0,0,2,1,1,1,1,2,2,3,2,2,4,3,3,3,3,0,1,0,0,0,0,0,0,0
202,2,0,0,0,0,1,0,1,0,0,0,0,2,4,3,3,3,3,0,0,1,3,0,0,0,0,0
204,1,0,0,0,1,1,0,0,0,0,1,0,2,4,3,3,3,3,0,0,3,0,0,0,0,0,0
210,1,0,0,0,0,1,0,0,0,0,2,1,2,4,3,3,3,3,0,0,2,3,0,0,0,0,0
