4 qid:1 1:0 2:0 3:0 4:0 5:0.1310344827586207 6:0.5853658536585366 7:0.08074884222951238 8:0.08876151788894975 9:0.0 10:0.0 11:0.35 12:0.05106382978723404 13:0.0 14:0.0 15:0.0 16:0.0 17:1.0 18:0.0 19:0.0 20:0.0 21:0.0 22:0.6094240837696335 23:0.625 24:0.5 25:0.5 26:0.6066350710900474 27:0.39950980392156865 28:0.5623342175066313 29:0.0 30:0.1111111111111111 31:0.013071895424836602 32:0.0 33:1 # 1
3 qid:1 1:0 2:0 3:0 4:0 5:0.027586206896551724 6:0.003586800573888092 7:0.0030253566358459565 8:0.0010740281905815172 9:0.0 10:0.0027548209366391185 11:0.3 12:0.09202127659574467 13:0.0 14:0.0 15:0.0 16:0.0 17:1.0 18:1.0 19:1.0 20:1.0 21:1.0 22:0.002356020942408377 23:0.125 24:0.0625 25:0.045454545454545456 26:0.018957345971563982 27:0.0024509803921568627 28:0.004420866489832007 29:0.0006762849413886385 30:0.1111111111111111 31:0.01597676107480029 32:0.11704312114989733 33:0 # 2
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.002152080344332855 7:0.00045194255544271764 8:0.00022331279210110753 9:0.0 10:0.005509641873278237 11:0.25 12:0.038829787234042554 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.5060500778722894 19:0.5187331270165273 20:0.512091841535711 21:0.6052631578947368 22:0.0013089005235602095 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.004739336492890996 27:0.0 28:0.005305039787798408 29:0.0006762849413886385 30:0.1111111111111111 31:0.01670297748729121 32:0.14168377823408623 33:0 # 3
3 qid:1 1:0 2:0 3:0 4:0 5:0.041379310344827586 6:0.0014347202295552368 7:0.00015419216597457424 8:9.570548232904608e-05 9:0.0 10:0.008264462809917356 11:0.4 12:0.06914893617021277 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.33820534323709117 19:0.34768771537060206 20:0.3427224156498646 21:0.42105263157894735 22:0.0008726003490401396 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.004739336492890996 27:0.0024509803921568627 28:0.0035366931918656055 29:0.0006762849413886385 30:0.1111111111111111 31:0.021060275962236745 32:0.14784394250513347 33:0 # 4
3 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:0.0002392637058226152 8:6.380365488603072e-05 9:0.0 10:0.0 11:0.45 12:0.007446808510638298 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.25392356535282135 19:0.26124316849937446 20:0.2574103698127411 21:0.39473684210526316 22:0.0004363001745200698 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.052132701421800945 27:0.0 28:0.005305039787798408 29:0.0 30:0.1111111111111111 31:0.0 32:0.0 33:0 # 5
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0007173601147776184 7:7.97545686075384e-05 8:0.00015419216597457424 9:0.0 10:0.011019283746556474 11:0.4 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.20328261650892535 19:0.20958714690195562 20:0.2062858755998871 21:0.3263157894736842 22:0.0 23:0.0625 24:0.0 25:0.045454545454545456 26:0.0 27:0.0 28:0.0008841732979664014 29:0.0 30:0.1111111111111111 31:0.02178649237472767 32:0.12320328542094455 33:0 # 6
4 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.006456241032998565 7:0.004498157669465166 8:0.0 9:0.0 10:0.013774104683195593 11:0.35 12:0.006382978723404255 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.1696917056028114 19:0.17482057022453415 20:0.172134918394446 21:0.2807017543859649 22:0.0012216404886561956 23:0.0625 24:0.25 25:0.22727272727272727 26:0.04265402843601896 27:0.0 28:0.0 29:0.0 30:0.1111111111111111 31:0.02251270878721859 32:0.1293634496919918 33:0 # 7
3 qid:1 1:0 2:0 3:0 4:0 5:0.034482758620689655 6:0.0007173601147776184 7:0.0008879341971639275 8:5.848668364552816e-05 9:0.0 10:0.01652892561983471 11:0.3 12:0.019680851063829788 13:0.0 14:0.0 15:0.0 16:1.0 17:0.0 18:0.14545003337383836 19:0.1578041369968676 20:0.15133509882733556 21:0.2481203007518797 22:0.0004363001745200698 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.004739336492890996 27:0.0 28:0.004420866489832007 29:0.0006762849413886385 30:0.1111111111111111 31:0.026143790849673203 32:0.135523613963039 33:0 # 8
4 qid:1 1:0 2:0 3:0 4:0 5:0.041379310344827586 6:0.0028694404591104736 7:0.0008560323697209121 8:0.0001595091372150768 9:0.0 10:0.01928374655647383 11:0.25 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.12735114412363724 19:0.1394531507210114 20:0.13311611931871647 21:0.25 22:0.0019197207678883072 23:0.125 24:0.0625 25:0.045454545454545456 26:0.018957345971563982 27:0.0 28:0.004420866489832007 29:0.0020288548241659153 30:0.1111111111111111 31:0.030501089324618737 32:0.16632443531827515 33:0 # 9
0 qid:1 1:0 2:0 3:2 4:0 5:0.020689655172413793 6:0.0007173601147776184 7:0.0002605315907846254 8:1.063394248100512e-05 9:0.0 10:0.0 11:0.25 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.11340068953582791 19:0.1251362642025709 20:0.11899110929881608 21:0.2573099415204679 22:8.726003490401397e-05 23:0.0625 24:0.0625 25:0.045454545454545456 26:0.004739336492890996 27:0.0 28:0.0008841732979664014 29:0.0002254283137962128 30:0.1111111111111111 31:0.0014524328249818446 32:0.0 33:0 # 11
2 qid:1 1:0 2:0 3:0 4:0 5:0.006896551724137931 6:0.0014347202295552368 7:3.190182744301536e-05 8:0.0 9:0.0 10:0.02203856749311295 11:0.25 12:0.0026595744680851063 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.10207260093446748 19:0.11294528214920656 20:0.10725196825695556 21:0.2473684210526316 22:0.0011343804537521816 23:0.125 24:0.0625 25:0.045454545454545456 26:0.009478672985781991 27:0.0 28:0.0 29:0.0002254283137962128 30:0.1111111111111111 31:0.03122730573710966 32:0.1786447638603696 33:0 # 12
