pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
1,4,0,0,2,0,1,2,1,0,1,1,0,0,4,4,4,3,4,1,1,4,1,0,0,0,0,0
2,4,0,0,2,0,1,2,1,1,3,3,3,0,3,4,4,3,4,1,1,1,2,0,0,0,0,0
3,4,0,0,2,0,1,2,1,1,3,3,3,0,4,4,4,3,4,1,1,2,4,0,0,0,0,0
4,3,0,0,2,0,1,2,1,1,3,4,3,0,4,4,4,3,4,1,1,2,4,0,0,0,0,0
6,3,0,1,2,0,1,2,1,1,3,4,3,0,4,4,4,3,4,1,1,4,4,0,0,0,0,0
9,3,0,0,2,0,1,2,1,1,2,2,3,0,3,4,4,3,4,1,1,3,3,0,0,0,0,0
10,1,0,0,2,0,1,1,0,1,3,2,4,0,4,4,4,3,4,1,1,0,4,0,0,0,0,0
11,4,0,0,2,0,1,2,1,0,0,0,0,0,3,3,4,3,3,1,3,4,3,0,0,0,0,0
13,0,0,0,2,0,1,2,0,0,1,1,1,0,4,3,3,3,3,1,1,4,2,0,0,0,0,0
14,0,0,0,2,0,1,1,1,1,3,4,3,0,3,4,4,3,4,1,0,0,4,0,0,0,0,0
16,3,0,0,2,0,1,2,1,1,3,3,2,0,3,3,3,3,3,1,1,3,3,0,0,0,0,0
18,4,0,0,2,0,1,2,1,1,3,4,3,0,4,3,4,3,3,1,1,0,4,0,0,0,0,0
19,3,0,0,2,0,1,2,1,0,0,0,0,0,3,3,3,3,3,1,1,4,1,0,0,0,0,0
20,3,0,0,2,0,1,2,1,1,1,2,2,0,3,3,3,3,3,1,1,3,1,0,0,0,0,0
21,4,0,0,2,0,1,2,1,1,1,3,3,0,4,3,3,3,3,1,1,3,2,0,0,0,0,0
23,2,0,0,2,0,1,2,1,1,3,3,3,0,4,3,3,3,3,1,1,1,4,0,0,0,0,0
24,1,0,0,2,0,1,2,0,0,0,0,0,0,3,3,3,3,3,1,1,4,0,0,0,0,0,1
25,3,0,0,2,0,1,2,1,1,1,2,2,0,3,3,4,3,3,1,1,0,3,0,0,0,0,0
26,1,0,0,2,0,1,2,1,1,3,4,3,0,4,3,3,3,3,1,1,3,4,0,0,0,0,0
27,3,0,0,2,0,1,2,1,1,0,1,1,0,4,3,3,3,3,1,1,3,1,0,0,0,0,0
28,4,0,0,2,0,1,2,1,1,3,2,3,0,4,3,4,3,3,1,1,1,4,0,0,0,0,0
29,4,0,0,2,0,1,2,1,1,3,4,4,0,4,3,4,3,3,1,1,1,4,0,0,0,0,0
31,3,0,0,2,0,1,2,0,0,0,0,0,0,4,3,3,3,3,1,1,3,0,0,0,0,0,0
32,4,0,0,2,0,1,2,0,1,2,3,3,0,4,3,4,3,3,1,1,0,4,0,0,0,0,0
33,4,0,0,2,0,1,2,1,1,3,4,4,0,4,3,3,3,3,1,1,2,4,0,0,0,0,0
34,4,0,0,2,0,1,2,1,1,1,3,1,0,4,3,3,3,3,1,1,1,1,0,0,0,0,0
35,4,0,0,2,0,1,2,1,1,3,4,3,0,4,3,3,3,3,1,1,4,2,0,0,0,0,0
39,4,0,0,2,0,1,2,1,1,1,3,2,0,4,3,3,3,3,1,1,3,2,0,0,0,0,0
40,0,0,0,2,0,1,2,1,1,1,3,2,0,4,3,3,3,3,1,1,4,2,0,0,0,0,0
41,2,0,0,2,0,1,0,1,0,1,1,2,0,3,3,4,3,3,1,0,1,1,0,0,0,0,0
42,4,0,0,2,0,1,2,1,1,3,4,4,0,3,3,3,3,3,1,1,3,2,0,0,0,0,0
43,4,0,0,2,0,1,2,1,1,3,4,3,0,3,3,3,3,3,1,1,3,3,0,0,0,0,0
44,4,0,0,2,0,1,2,1,0,3,2,2,0,2,3,3,3,3,1,1,1,4,0,0,0,0,0
45,2,0,0,2,0,1,1,0,1,3,3,3,0,3,3,4,3,3,1,0,3,3,0,0,0,0,0
