pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor
454,0,0,0,2,0,1,0,0,0,0,1,0,0,4,2,2,0,0,0,0,4,0,0,0,0,0,0
482,0,0,0,2,0,1,1,0,1,3,1,3,0,4,2,2,0,0,0,0,2,1,0,0,0,0,0
486,0,0,0,2,0,1,2,1,2,2,2,2,0,4,2,2,0,0,0,0,3,3,0,0,0,0,0
487,0,0,0,2,0,1,3,1,2,2,3,1,0,4,2,2,0,0,0,3,4,2,0,0,0,0,0
492,0,0,0,2,0,1,3,1,1,1,1,0,0,4,1,1,0,0,0,3,4,3,0,0,0,0,0
495,0,0,0,2,0,1,2,1,2,3,2,3,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0
496,0,0,0,2,0,1,2,1,1,2,1,3,0,3,1,1,0,0,0,0,2,0,0,0,0,0,0
497,1,2,0,2,0,1,1,1,0,0,0,0,0,3,2,2,0,0,0,0,2,1,0,0,0,0,0
506,1,0,0,2,0,1,3,1,3,1,1,0,0,3,1,1,0,0,0,3,1,2,0,0,0,0,0
509,1,0,0,2,0,0,2,1,1,2,1,3,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0
518,1,0,0,2,0,1,3,1,3,0,3,1,0,3,0,0,0,0,0,3,0,1,0,0,0,0,0
530,1,0,0,2,0,1,3,1,3,3,3,2,0,3,0,0,0,0,0,3,4,3,0,0,0,0,0
532,1,2,0,2,0,1,2,1,2,4,3,3,0,3,2,2,0,0,0,3,1,3,0,0,0,0,0
535,1,2,0,2,0,1,1,0,2,2,2,3,0,2,2,2,0,0,0,0,3,3,0,0,0,0,0
555,2,0,0,2,0,1,3,1,2,0,0,0,0,2,0,0,0,0,0,3,4,3,0,0,0,0,0
590,2,0,0,2,0,1,2,1,3,4,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
660,2,0,0,1,0,1,0,1,3,1,0,3,0,2,1,2,0,0,0,0,2,2,0,0,0,0,0
664,2,2,0,1,0,1,0,0,3,2,0,2,0,2,2,2,0,0,0,0,3,2,0,0,0,0,0
775,2,0,0,1,0,1,1,1,3,4,4,3,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0
853,2,0,0,2,0,1,1,1,0,2,2,2,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0
938,2,1,0,1,0,1,1,1,3,3,4,3,0,1,2,2,0,0,0,0,1,3,0,0,0,0,0
939,3,0,0,1,0,1,3,1,3,4,4,3,0,1,2,2,0,0,0,3,1,2,0,0,0,0,0
942,3,0,0,1,0,1,1,1,2,1,2,1,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0
944,3,0,0,2,0,1,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0
945,3,0,0,1,0,1,1,0,1,4,4,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
966,3,0,0,1,0,1,3,1,0,4,3,2,0,1,1,2,0,0,0,3,0,3,0,0,0,0,0
978,3,1,0,2,0,1,2,1,1,0,2,1,0,1,1,2,0,0,0,3,1,3,0,0,0,0,0
979,3,0,0,2,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0
986,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0
990,4,0,0,1,0,1,2,1,1,3,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
999,4,2,0,1,0,1,0,1,1,3,4,3,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0
1020,4,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0
1030,4,0,0,2,0,1,0,0,3,2,3,1,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0
1049,4,0,0,1,0,1,3,1,0,1,0,3,0,0,2,2,0,0,0,3,0,1,0,0,0,0,0
