PR创建者,PR创建者的身份,评论过的用户名称,评论次数,评论者的身份
mike-jumper,CONTRIBUTOR,jmuehlner,197,CONTRIBUTOR
mike-jumper,CONTRIBUTOR,patlachance,1,NONE
mike-jumper,CONTRIBUTOR,necouchman,267,CONTRIBUTOR
mike-jumper,CONTRIBUTOR,lshahar,1,NONE
mike-jumper,CONTRIBUTOR,julianmsanchez,1,NONE
mike-jumper,CONTRIBUTOR,limenghui614,1,NONE
mike-jumper,CONTRIBUTOR,docelmo,3,NONE
mike-jumper,CONTRIBUTOR,bmullan,1,NONE
mike-jumper,CONTRIBUTOR,alallier,3,NONE
mike-jumper,CONTRIBUTOR,lukasmrtvy,1,NONE
mike-jumper,CONTRIBUTOR,Vict0rC,1,CONTRIBUTOR
mike-jumper,CONTRIBUTOR,tworcester,3,CONTRIBUTOR
mike-jumper,CONTRIBUTOR,lchanouha,3,NONE
mike-jumper,CONTRIBUTOR,doctorfree,1,NONE
mike-jumper,CONTRIBUTOR,holograph,1,CONTRIBUTOR
nrbrt,CONTRIBUTOR,mike-jumper,2,CONTRIBUTOR
jmuehlner,CONTRIBUTOR,mike-jumper,45,CONTRIBUTOR
jmuehlner,CONTRIBUTOR,necouchman,8,CONTRIBUTOR
tylermauthe,CONTRIBUTOR,jmuehlner,1,CONTRIBUTOR
OllieJones,NONE,mike-jumper,1,CONTRIBUTOR
OllieJones,NONE,necouchman,3,CONTRIBUTOR
hguehl,CONTRIBUTOR,jmuehlner,7,CONTRIBUTOR
hguehl,CONTRIBUTOR,mike-jumper,9,CONTRIBUTOR
hguehl,CONTRIBUTOR,wnovak,1,NONE
ljruiten,NONE,mike-jumper,2,CONTRIBUTOR
annieweng,NONE,jmuehlner,9,CONTRIBUTOR
annieweng,NONE,mike-jumper,11,CONTRIBUTOR
annieweng,NONE,necouchman,1,CONTRIBUTOR
wnovak,NONE,mike-jumper,10,CONTRIBUTOR
heinzbeinz,NONE,necouchman,2,CONTRIBUTOR
heinzbeinz,NONE,mike-jumper,2,CONTRIBUTOR
efrecon,NONE,mike-jumper,1,CONTRIBUTOR
efrecon,NONE,necouchman,4,CONTRIBUTOR
necouchman,CONTRIBUTOR,mike-jumper,876,CONTRIBUTOR
