PR创建者,PR创建者的身份,评论过的用户数量（含PR创建者自身）,评论过该PR创建者的用户（含PR创建者自身）,评论过的用户数量（不含PR创建者自身）,评论过该PR创建者的用户（不含PR创建者自身）
mike-jumper,CONTRIBUTOR,16,"{'holograph', 'bmullan', 'mike-jumper', 'tworcester', 'lukasmrtvy', 'alallier', 'limenghui614', 'docelmo', 'lchanouha', 'doctorfree', 'necouchman', 'julianmsanchez', 'jmuehlner', 'Vict0rC', 'lshahar', 'patlachance'}",15,"{'holograph', 'bmullan', 'tworcester', 'lukasmrtvy', 'alallier', 'limenghui614', 'docelmo', 'lchanouha', 'doctorfree', 'necouchman', 'julianmsanchez', 'jmuehlner', 'Vict0rC', 'lshahar', 'patlachance'}"
nrbrt,CONTRIBUTOR,2,"{'nrbrt', 'mike-jumper'}",1,{'mike-jumper'}
jmuehlner,CONTRIBUTOR,3,"{'mike-jumper', 'necouchman', 'jmuehlner'}",2,"{'mike-jumper', 'necouchman'}"
tylermauthe,CONTRIBUTOR,2,"{'tylermauthe', 'jmuehlner'}",1,{'jmuehlner'}
OllieJones,NONE,3,"{'mike-jumper', 'necouchman', 'OllieJones'}",2,"{'mike-jumper', 'necouchman'}"
hguehl,CONTRIBUTOR,4,"{'mike-jumper', 'jmuehlner', 'hguehl', 'wnovak'}",3,"{'mike-jumper', 'jmuehlner', 'wnovak'}"
ljruiten,NONE,2,"{'mike-jumper', 'ljruiten'}",1,{'mike-jumper'}
annieweng,NONE,4,"{'mike-jumper', 'necouchman', 'jmuehlner', 'annieweng'}",3,"{'mike-jumper', 'necouchman', 'jmuehlner'}"
wnovak,NONE,2,"{'mike-jumper', 'wnovak'}",1,{'mike-jumper'}
heinzbeinz,NONE,3,"{'mike-jumper', 'necouchman', 'heinzbeinz'}",2,"{'mike-jumper', 'necouchman'}"
efrecon,NONE,3,"{'efrecon', 'mike-jumper', 'necouchman'}",2,"{'mike-jumper', 'necouchman'}"
