PR创建者,PR创建者的身份,评论过的用户名称,评论次数,评论者的身份
keon,NONE,,,
webmaven,NONE,vrv,1,CONTRIBUTOR
makky3939,NONE,vrv,1,CONTRIBUTOR
ptarjan,NONE,vrv,3,CONTRIBUTOR
ptarjan,NONE,bhack,2,CONTRIBUTOR
ptarjan,NONE,BenMorganIO,1,NONE
ptarjan,NONE,mrdrozdov,1,NONE
kashif,CONTRIBUTOR,alibitek,1,NONE
kashif,CONTRIBUTOR,tensorflow-jenkins,14,COLLABORATOR
kashif,CONTRIBUTOR,girving,8,CONTRIBUTOR
kashif,CONTRIBUTOR,googlebot,4,NONE
kashif,CONTRIBUTOR,jendap,3,CONTRIBUTOR
kashif,CONTRIBUTOR,vrv,22,CONTRIBUTOR
kashif,CONTRIBUTOR,akuz,2,NONE
kashif,CONTRIBUTOR,willnorris,2,NONE
kashif,CONTRIBUTOR,martinwicke,2,MEMBER
kashif,CONTRIBUTOR,zheng-xq,5,CONTRIBUTOR
kashif,CONTRIBUTOR,Mistobaan,1,CONTRIBUTOR
kashif,CONTRIBUTOR,yaroslavvb,10,CONTRIBUTOR
kashif,CONTRIBUTOR,dansbecker,1,CONTRIBUTOR
kashif,CONTRIBUTOR,rryan,11,MEMBER
kashif,CONTRIBUTOR,yifeif,4,CONTRIBUTOR
kashif,CONTRIBUTOR,mention-bot,2,NONE
kashif,CONTRIBUTOR,jart,1,CONTRIBUTOR
kashif,CONTRIBUTOR,jhseu,7,CONTRIBUTOR
kashif,CONTRIBUTOR,tyfkda,1,CONTRIBUTOR
kashif,CONTRIBUTOR,sb2nov,1,CONTRIBUTOR
kashif,CONTRIBUTOR,gunan,2,CONTRIBUTOR
kashif,CONTRIBUTOR,jlebar,2,CONTRIBUTOR
kashif,CONTRIBUTOR,gbaned,2,CONTRIBUTOR
kashif,CONTRIBUTOR,mellanox-github,1,NONE
brendan-rius,NONE,alibitek,1,NONE
brendan-rius,NONE,vrv,1,CONTRIBUTOR
aertoria,NONE,andreimaksimenka,1,NONE
aertoria,NONE,ebrevdo,2,CONTRIBUTOR
aertoria,NONE,davidpelayo,1,NONE
seankim902,NONE,vrv,1,CONTRIBUTOR
jeffdonahue,NONE,futurely,2,NONE
jeffdonahue,NONE,Yangqing,4,CONTRIBUTOR
javierblasco,NONE,vrv,1,CONTRIBUTOR
mtourne,NONE,vrv,1,CONTRIBUTOR
mtourne,NONE,almostimplemented,1,NONE
mtourne,NONE,kazoo-of-the-north,1,NONE
mtourne,NONE,rpagliuca,1,NONE
mtourne,NONE,mobyIsMe,1,NONE
brendandburns,NONE,vrv,1,CONTRIBUTOR
DreSimpelo,CONTRIBUTOR,vrv,2,CONTRIBUTOR
DreSimpelo,CONTRIBUTOR,tensorflow-jenkins,2,COLLABORATOR
DreSimpelo,CONTRIBUTOR,jhseu,2,CONTRIBUTOR
formido,NONE,,,
asseldonk,NONE,,,
milijan,NONE,,,
pirate,CONTRIBUTOR,vrv,2,CONTRIBUTOR
jordanpn,NONE,vrv,1,CONTRIBUTOR
jamesliu96,NONE,,,
nikhilk,NONE,,,
aidangomez,NONE,vrv,1,CONTRIBUTOR
hammer,CONTRIBUTOR,vrv,2,CONTRIBUTOR
alexlenail,NONE,vrv,2,CONTRIBUTOR
ville-k,CONTRIBUTOR,elbamos,9,NONE
ville-k,CONTRIBUTOR,vrv,27,CONTRIBUTOR
ville-k,CONTRIBUTOR,tensorflow-jenkins,3,COLLABORATOR
ville-k,CONTRIBUTOR,benslaney,1,NONE
ville-k,CONTRIBUTOR,esd100,4,NONE
ville-k,CONTRIBUTOR,teddddddy,1,NONE
ville-k,CONTRIBUTOR,Mistobaan,5,CONTRIBUTOR
ville-k,CONTRIBUTOR,zheng-xq,1,CONTRIBUTOR
ville-k,CONTRIBUTOR,fpmchu,4,NONE
ville-k,CONTRIBUTOR,martinwicke,8,MEMBER
ville-k,CONTRIBUTOR,NathanHowell,5,CONTRIBUTOR
ville-k,CONTRIBUTOR,Geka000,1,NONE
ville-k,CONTRIBUTOR,ageitgey,1,NONE
ville-k,CONTRIBUTOR,normanhh3,1,NONE
ville-k,CONTRIBUTOR,matspetter,3,NONE
ville-k,CONTRIBUTOR,omarev-git,2,NONE
ville-k,CONTRIBUTOR,markb729,1,NONE
ville-k,CONTRIBUTOR,chrhansen,1,NONE
ville-k,CONTRIBUTOR,jstaker7,2,NONE
ville-k,CONTRIBUTOR,martin-gorner,2,NONE
ville-k,CONTRIBUTOR,royalstream,1,NONE
ville-k,CONTRIBUTOR,yaroslavvb,1,CONTRIBUTOR
ville-k,CONTRIBUTOR,ghost,1,NONE
sdemyanov,NONE,vrv,2,CONTRIBUTOR
martinwicke,MEMBER,googlebot,19,NONE
martinwicke,MEMBER,vrv,26,CONTRIBUTOR
martinwicke,MEMBER,jendap,4,CONTRIBUTOR
martinwicke,MEMBER,caisq,11,CONTRIBUTOR
martinwicke,MEMBER,bhack,2,CONTRIBUTOR
martinwicke,MEMBER,msperlich,1,NONE
martinwicke,MEMBER,mention-bot,4,NONE
martinwicke,MEMBER,damienmg,1,MEMBER
martinwicke,MEMBER,mrry,9,CONTRIBUTOR
martinwicke,MEMBER,jart,1,CONTRIBUTOR
martinwicke,MEMBER,meteorcloudy,5,MEMBER
martinwicke,MEMBER,gunan,5,CONTRIBUTOR
martinwicke,MEMBER,samjabrahams,1,CONTRIBUTOR
martinwicke,MEMBER,yifeif,2,CONTRIBUTOR
martinwicke,MEMBER,RealTimeDeployment,1,NONE
martinwicke,MEMBER,wolffg,1,CONTRIBUTOR
martinwicke,MEMBER,yaroslavvb,1,CONTRIBUTOR
martinwicke,MEMBER,nealwu,1,CONTRIBUTOR
martinwicke,MEMBER,rryan,2,MEMBER
martinwicke,MEMBER,drpngx,2,CONTRIBUTOR
martinwicke,MEMBER,MarkDaoust,2,CONTRIBUTOR
martinwicke,MEMBER,aselle,1,MEMBER
martinwicke,MEMBER,jhseu,3,CONTRIBUTOR
martinwicke,MEMBER,yongtang,1,MEMBER
martinwicke,MEMBER,tensorflow-jenkins,2,COLLABORATOR
martinwicke,MEMBER,jowagner,3,NONE
kentonl,CONTRIBUTOR,tensorflow-jenkins,2,COLLABORATOR
kentonl,CONTRIBUTOR,mrry,3,CONTRIBUTOR
kentonl,CONTRIBUTOR,ebrevdo,9,CONTRIBUTOR
kentonl,CONTRIBUTOR,vrv,6,CONTRIBUTOR
kentonl,CONTRIBUTOR,googlebot,8,NONE
dennybritz,CONTRIBUTOR,vrv,3,CONTRIBUTOR
dennybritz,CONTRIBUTOR,tensorflow-jenkins,1,COLLABORATOR
panmari,CONTRIBUTOR,vrv,20,CONTRIBUTOR
panmari,CONTRIBUTOR,tensorflow-jenkins,13,COLLABORATOR
panmari,CONTRIBUTOR,martinwicke,25,MEMBER
panmari,CONTRIBUTOR,zheng-xq,2,CONTRIBUTOR
panmari,CONTRIBUTOR,decentralion,2,CONTRIBUTOR
panmari,CONTRIBUTOR,caisq,4,CONTRIBUTOR
panmari,CONTRIBUTOR,chemelnucfin,2,CONTRIBUTOR
panmari,CONTRIBUTOR,jhseu,4,CONTRIBUTOR
ffmpbgrnn,CONTRIBUTOR,tensorflow-jenkins,1,COLLABORATOR
ffmpbgrnn,CONTRIBUTOR,vrv,1,CONTRIBUTOR
srjoglekar246,MEMBER,vrv,5,CONTRIBUTOR
srjoglekar246,MEMBER,tensorflow-jenkins,2,COLLABORATOR
srjoglekar246,MEMBER,bhack,1,CONTRIBUTOR
srjoglekar246,MEMBER,cesarsalgado,1,CONTRIBUTOR
srjoglekar246,MEMBER,martinwicke,12,MEMBER
srjoglekar246,MEMBER,gunan,1,CONTRIBUTOR
srjoglekar246,MEMBER,thjashin,2,CONTRIBUTOR
srjoglekar246,MEMBER,mihaimaruseac,1,COLLABORATOR
jendap,CONTRIBUTOR,googlebot,5,NONE
jendap,CONTRIBUTOR,bhack,1,CONTRIBUTOR
jendap,CONTRIBUTOR,vrv,16,CONTRIBUTOR
jendap,CONTRIBUTOR,martinwicke,26,MEMBER
jendap,CONTRIBUTOR,caisq,9,CONTRIBUTOR
jendap,CONTRIBUTOR,decentralion,1,CONTRIBUTOR
jendap,CONTRIBUTOR,cancan101,2,CONTRIBUTOR
jendap,CONTRIBUTOR,girving,1,CONTRIBUTOR
jendap,CONTRIBUTOR,Svikashini,2,NONE
jendap,CONTRIBUTOR,benoitsteiner,1,CONTRIBUTOR
prolearner,CONTRIBUTOR,tensorflow-jenkins,1,COLLABORATOR
prolearner,CONTRIBUTOR,googlebot,2,NONE
prolearner,CONTRIBUTOR,vrv,1,CONTRIBUTOR
rldotai,NONE,tensorflow-jenkins,1,COLLABORATOR
rldotai,NONE,googlebot,2,NONE
rldotai,NONE,vrv,1,CONTRIBUTOR
ogrisel,CONTRIBUTOR,tensorflow-jenkins,1,COLLABORATOR
ogrisel,CONTRIBUTOR,vrv,2,CONTRIBUTOR
vrv,CONTRIBUTOR,mrry,2,CONTRIBUTOR
vrv,CONTRIBUTOR,martinwicke,13,MEMBER
vrv,CONTRIBUTOR,caisq,15,CONTRIBUTOR
vrv,CONTRIBUTOR,jendap,2,CONTRIBUTOR
vrv,CONTRIBUTOR,googlebot,39,NONE
vrv,CONTRIBUTOR,willnorris,2,NONE
vrv,CONTRIBUTOR,tensorflow-jenkins,1,COLLABORATOR
vrv,CONTRIBUTOR,damienmg,1,MEMBER
vrv,CONTRIBUTOR,zheng-xq,12,CONTRIBUTOR
vrv,CONTRIBUTOR,ebrevdo,1,CONTRIBUTOR
vrv,CONTRIBUTOR,yaroslavvb,1,CONTRIBUTOR
vrv,CONTRIBUTOR,craigcitro,3,MEMBER
vrv,CONTRIBUTOR,rmlarsen,1,MEMBER
vrv,CONTRIBUTOR,mention-bot,12,NONE
vrv,CONTRIBUTOR,rinugun,1,CONTRIBUTOR
vrv,CONTRIBUTOR,benoitsteiner,1,CONTRIBUTOR
vrv,CONTRIBUTOR,gunan,2,CONTRIBUTOR
vrv,CONTRIBUTOR,jhseu,1,CONTRIBUTOR
vrv,CONTRIBUTOR,snnn,1,CONTRIBUTOR
vrv,CONTRIBUTOR,suiyuan2009,1,CONTRIBUTOR
vrv,CONTRIBUTOR,av8ramit,2,CONTRIBUTOR
vrv,CONTRIBUTOR,case540,1,CONTRIBUTOR
vrv,CONTRIBUTOR,yifeif,1,CONTRIBUTOR
MarkDaoust,CONTRIBUTOR,tensorflow-jenkins,8,COLLABORATOR
MarkDaoust,CONTRIBUTOR,vrv,7,CONTRIBUTOR
MarkDaoust,CONTRIBUTOR,av8ramit,3,CONTRIBUTOR
MarkDaoust,CONTRIBUTOR,scotthuang1989,2,CONTRIBUTOR
MarkDaoust,CONTRIBUTOR,martinwicke,3,MEMBER
MarkDaoust,CONTRIBUTOR,mention-bot,1,NONE
MarkDaoust,CONTRIBUTOR,benoitsteiner,3,CONTRIBUTOR
MarkDaoust,CONTRIBUTOR,asimshankar,1,CONTRIBUTOR
MarkDaoust,CONTRIBUTOR,aselle,1,MEMBER
MarkDaoust,CONTRIBUTOR,googlebot,9,NONE
